Gene_ID,Gene_Name,Drug_ID,Drug_Name
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10452,Cabazitaxel acetonate (JAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10454,Cantuzumab ravtansine (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10954,Mirvetuximab soravtansine (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11228,Soravtansine (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11232,Denintuzumab mafodotin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11238,Lifastuzumab vedotin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11494,Lisavanbulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11525,Enfortumab vedotin (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11595,Belantamab mafodotin (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11681,Avanbulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11691,Tirbanibulin (JAN/USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11692,Tirbanibulin mesylate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D11814,Tisotumab vedotin (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12183,Farletuzumab ecteribulin (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12210,Ozuriftmab vedotin (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12220,Mecbotamab vedotin
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12310,Tusamitamab ravtansine (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12519,Sabizabulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12520,Sabizabulin hydrochloride (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12582,Opadotin (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12583,Anvatabart opadotin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12916,Oberotatug ravtansine (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D12989,Disitamab vedotin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D13007,Sigvotatug vedotin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D00491,Paclitaxel (JAN/USP/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D00570,Colchicine (JP18/USP);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D01068,Vinblastine sulfate (JP18/USP);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D01769,Vindesine sulfate (JAN/USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D01919,Soblidotin (JAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D01935,Vinorelbine tartrate (USP);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D02165,Docetaxel (USP);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D02197,Vincristine sulfate (JP18/USP);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D02398,Estramustine phosphate sodium (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D03059,Batabulin sodium (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D03364,Cantuzumab mertansine (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D04066,Estramustine (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D04645,Ixabepilone (JAN/USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D04864,Maytansine (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D05062,Mivobulin isethionate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D05333,Paclitaxel poliglumex (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06001,Taltobulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06009,Tasidotin hydrochloride (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06304,Vindesine (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06305,Vinepidine sulfate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06306,Vinglycinate sulfate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06307,Vinleurosine sulfate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06308,Vinrosidine sulfate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06309,Vinzolidine sulfate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06397,Estramustine phosphate sodium hydrate (JAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06560,Batabulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D06576,Cevipabulin fumarate (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D07866,Docetaxel (JAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D08675,Vinblastine (INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D08679,Vincristine (INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D08680,Vinorelbine (INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D08889,Cevipabulin succinate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D08914,Eribulin mesylate (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09032,Vinflunine ditartrate (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09587,Brentuximab vedotin (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09691,Vedotin (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09755,Cabazitaxel (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09912,Glembatumumab vedotin (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09927,Lorvotuzumab mertansine (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D09980,Trastuzumab emtansine (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10013,Indibulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10029,Verubulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10030,Verubulin hydrochloride (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10073,Lexibulin (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10452,Cabazitaxel acetonate (JAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10454,Cantuzumab ravtansine (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D10954,Mirvetuximab soravtansine (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11228,Soravtansine (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11232,Denintuzumab mafodotin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11238,Lifastuzumab vedotin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11494,Lisavanbulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11525,Enfortumab vedotin (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11595,Belantamab mafodotin (USAN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11681,Avanbulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11691,Tirbanibulin (JAN/USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11692,Tirbanibulin mesylate (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D11814,Tisotumab vedotin (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12183,Farletuzumab ecteribulin (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12210,Ozuriftmab vedotin (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12220,Mecbotamab vedotin
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12310,Tusamitamab ravtansine (USAN/INN);
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12519,Sabizabulin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12520,Sabizabulin hydrochloride (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12582,Opadotin (USAN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12583,Anvatabart opadotin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12916,Oberotatug ravtansine (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D12989,Disitamab vedotin (USAN/INN)
hsa:347688,"TUBB8, OOMD, OOMD2, OZEMA2, bA631M21.2; tubulin beta 8 class VIII",dr:D13007,Sigvotatug vedotin (USAN/INN)
hsa:5690,"PSMB2, HC7-I; proteasome 20S subunit beta 2",dr:D09640,Marizomib (USAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D00491,Paclitaxel (JAN/USP/INN);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D00570,Colchicine (JP18/USP);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D01068,Vinblastine sulfate (JP18/USP);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D01769,Vindesine sulfate (JAN/USAN);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D01919,Soblidotin (JAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D01935,Vinorelbine tartrate (USP);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D02165,Docetaxel (USP);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D02197,Vincristine sulfate (JP18/USP);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D02398,Estramustine phosphate sodium (USAN);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D03059,Batabulin sodium (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D03364,Cantuzumab mertansine (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D04066,Estramustine (USAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D04645,Ixabepilone (JAN/USAN/INN);
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D04864,Maytansine (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D05062,Mivobulin isethionate (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D05333,Paclitaxel poliglumex (USAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D06001,Taltobulin (USAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D06009,Tasidotin hydrochloride (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D06304,Vindesine (USAN/INN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D06305,Vinepidine sulfate (USAN)
hsa:10381,"TUBB3, CDCBM, CDCBM1, CFEOM3, CFEOM3A, FEOM3, TUBB4, beta-4; tubulin beta 3 class III",dr:D06306,Vinglycinate sulfate (USAN)
